Time(t),recommendation_Time(t),fingerprint_Time(t),K5027 TE Kiln channel temperature SH1_real,K5028 TE Kiln channel temperarute SH2_real,K5026 TE1 Kiln temperature (Pyrometer 1)_real,K5026 TE2 Kiln temperature (Pyrometer 2)_real,K5001AC Combustion Air Blower actual speed [rpm]_real,Coal fuel counter actual [kg]_real,K5314 FIC Controller Output_real,K5351AC Rotary valve speed %_real,K5352AC Rotary valve speed %_real,K5353AC Rotary valve speed %_real,K5354AC Rotary valve speed %_real,K5355AC Rotary valve speed %_real,K5356AC Rotary valve speed %_real,K5357AC Rotary valve speed %_real,K5358AC Rotary valve speed %_real,K5359AC Rotary valve speed %_real,K5360AC Rotary valve speed %_real,K5027 TE Kiln channel temperature SH1_recommended,K5028 TE Kiln channel temperarute SH2_recommended,K5026 TE1 Kiln temperature (Pyrometer 1)_recommended,K5026 TE2 Kiln temperature (Pyrometer 2)_recommended,K5001AC Combustion Air Blower actual speed [rpm]_recommended,Coal fuel counter actual [kg]_recommended,K5314 FIC Controller Output_recommended,K5351AC Rotary valve speed %_recommended,K5352AC Rotary valve speed %_recommended,K5353AC Rotary valve speed %_recommended,K5354AC Rotary valve speed %_recommended,K5355AC Rotary valve speed %_recommended,K5356AC Rotary valve speed %_recommended,K5357AC Rotary valve speed %_recommended,K5358AC Rotary valve speed %_recommended,K5359AC Rotary valve speed %_recommended,K5360AC Rotary valve speed %_recommended
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
2025-04-21 15:00:00,2025-04-21 15:15:00,2025-04-21 04:25:00,990.972,1018.75,1041.29,1006.86,108.003,213.322,48.0,40.3137,50.8728,59.0332,60.4736,37.915,35.9924,59.0332,44.1528,44.635,57.5928,998.611,1018.06,1035.88,1008.83,112.993,196.183,38.0,42.1753,49.3957,50.531,46.7346,34.5764,30.7739,50.531,49.3957,49.3957,50.9155
